id,short_name,long_name,overall,age,dob,height_cm,weight_kg,my_team
31,T. Alexander-Arnold,Trent Alexander-Arnold,87,22,1998-10-07,180,69,false
32,F. de Jong,Frenkie de Jong,87,24,1997-05-12,180,74,false
33,A. Robertson,Andrew Robertson,87,27,1994-03-11,178,64,false
34,L. Goretzka,Leon Christoph Goretzka,87,26,1995-02-06,189,82,false
35,Marquinhos,Marcos Aoás Corrêa,87,27,1994-05-14,183,75,false
36,P. Dybala,Paulo Bruno Exequiel Dybala,87,27,1993-11-15,177,75,false
37,P. Pogba,Paul Pogba,87,28,1993-03-15,191,84,false
38,S. Agüero,Sergio Leonel Agüero del Castillo,87,33,1988-06-02,173,70,false
39,T. Müller,Thomas Müller,87,31,1989-09-13,185,76,false
40,W. Szczęsny,Wojciech Tomasz Szczęsny,87,31,1990-04-18,195,90,false
41,L. Modrić,Luka Modrić,87,35,1985-09-09,172,66,false
42,H. Lloris,Hugo Lloris,87,34,1986-12-26,188,82,false
43,C. Immobile,Ciro Immobile,87,31,1990-02-20,185,85,false
44,Fabinho,Fábio Henrique Tavares,86,27,1993-10-23,188,78,false
45,João Cancelo,João Pedro Cavaco Cancelo,86,27,1994-05-27,182,74,false
46,A. Laporte,Aymeric Laporte,86,27,1994-05-27,191,85,false
47,Rodri,Rodrigo Hernández Cascante,86,25,1996-06-22,191,82,false
48,Marcos Llorente,Marcos Llorente Moreno,86,26,1995-01-30,184,74,false
49,R. Mahrez,Riyad Mahrez,86,30,1991-02-21,179,67,false
50,M. Škriniar,Milan Škriniar,86,26,1995-02-11,188,80,false
51,Gerard Moreno,Gerard Moreno Balagueró,86,29,1992-04-07,180,77,false
52,J. Vardy,Jamie Vardy,86,34,1987-01-11,179,74,false
53,R. Varane,Raphaël Varane,86,28,1993-04-25,191,81,false
54,Thiago,Thiago Alcântara do Nascimento,86,30,1991-04-11,174,70,false
55,K. Koulibaly,Kalidou Koulibaly,86,30,1991-06-20,187,89,false
56,S. Handanovič,Samir Handanovič,86,36,1984-07-14,193,92,false
57,Jordi Alba,Jordi Alba Ramos,86,32,1989-03-21,170,68,false
58,M. Hummels,Mats Hummels,86,32,1988-12-16,191,96,false
59,Sergio Busquets,Sergio Busquets i Burgos,86,32,1988-07-16,189,76,false
60,Parejo,Daniel Parejo Muñoz,86,32,1989-04-16,182,74,false
61,K. Casteels,Koen Casteels,86,29,1992-06-25,197,86,false
62,L. Insigne,Lorenzo Insigne,86,30,1991-06-04,163,59,false
63,W. Ndidi,Onyinye Wilfred Ndidi,85,24,1996-12-16,183,74,false
64,M. Depay,Memphis Depay,85,27,1994-02-13,176,78,false
65,Carvajal,Daniel Carvajal Ramos,85,29,1992-01-11,173,73,false
66,Jorginho,Luiz Frello Filho Jorge,85,29,1991-12-20,180,68,false
67,S. Gnabry,Serge David Gnabry,85,25,1995-07-14,176,77,false
68,S. Milinković-Savić,Sergej Milinković-Savić,85,26,1995-02-27,191,76,false
69,M. de Ligt,Matthijs de Ligt,85,21,1999-08-12,189,89,false
70,Oyarzabal,Mikel Oyarzabal Ugarte,85,24,1997-04-21,181,79,false
71,L. Martínez,Lautaro Javier Martínez,85,23,1997-08-22,174,72,false
72,A. Hakimi,Achraf Hakimi Mouh,85,22,1998-11-04,181,73,false
73,A. Griezmann,Antoine Griezmann,85,30,1991-03-21,176,73,false
74,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,85,29,1991-10-02,181,76,false
75,S. de Vrij,Stefan de Vrij,85,29,1992-02-05,189,78,false
76,Koke,Jorge Resurrección Merodio,85,29,1992-01-08,176,75,false
77,E. Hazard,Eden Hazard,85,30,1991-01-07,175,74,false
78,A. Gómez,Alejandro Darío Gómez,85,33,1988-02-15,167,68,false
79,K. Schmeichel,Kasper Peter Schmeichel,85,34,1986-11-05,189,89,false
80,David Silva,David Josué Jiménez Silva,85,35,1986-01-08,173,67,false
81,Y. Sommer,Yann Sommer,85,32,1988-12-17,183,79,false
82,L. Bonucci,Leonardo Bonucci,85,34,1987-05-01,190,85,false
83,P. Gulácsi,Péter Gulácsi,85,31,1990-05-06,191,86,false
84,İ. Gündoğan,İlkay Gündoğan,85,30,1990-10-24,180,80,false
85,M. Reus,Marco Reus,85,32,1989-05-31,180,71,false
86,K. Walker,Kyle Walker,85,31,1990-05-28,183,83,false
87,P. Aubameyang,Pierre-Emerick Emiliano François Aubameyang,85,32,1989-06-18,187,80,false
88,J. Giménez,José María Giménez de Vargas,84,26,1995-01-20,185,79,false
89,Y. Carrasco,Yannick Ferreira Carrasco,84,27,1993-09-04,185,73,false
90,F. Kostić,Filip Kostić,84,28,1992-11-01,184,82,false
91,R. Guerreiro,Raphaël Adelino José Guerreiro,84,27,1993-12-22,170,71,false
92,Ricardo Pereira,Ricardo Domingos Barbosa Pereira,84,27,1993-10-06,175,70,false
93,M. Maignan,Mike Maignan,84,25,1995-07-03,191,89,false
94,M. Brozović,Marcelo Brozović,84,28,1992-11-16,181,68,false
95,Y. Tielemans,Youri Tielemans,84,24,1997-05-07,176,72,false
96,T. Hernández,Theo Bernard François Hernández,84,23,1997-10-06,184,81,false
97,N. Fekir,Nabil Fekir,84,27,1993-07-18,173,75,false
98,L. Sané,Leroy Aziz Sané,84,25,1996-01-11,183,80,false
99,N. Barella,Nicolò Barella,84,24,1997-02-07,172,68,false
100,M. Acuña,Marcos Javier Acuña,84,29,1991-10-28,172,69,false
101,André Silva,André Miguel Valente da Silva,84,25,1995-11-06,185,84,false
102,F. Kessié,Franck Yannick Kessié,84,24,1996-12-19,183,88,false
103,J. Grealish,Jack Grealish,84,25,1995-09-10,180,81,false
104,M. Ginter,Matthias Ginter,84,27,1994-01-19,191,86,false
105,L. Shaw,Luke Shaw,84,25,1995-07-12,181,75,false
106,De Gea,David De Gea Quintana,84,30,1990-11-07,192,82,false
107,Jesús Navas,Jesús Navas González,84,35,1985-11-21,172,60,false
108,Piqué,Gerard Piqué Bernabéu,84,34,1987-02-02,194,85,false
109,J. Henderson,Jordan Henderson,84,31,1990-06-17,182,80,false
110,Fernando,Fernando Francisco Reges,84,33,1987-07-25,183,76,false
111,Iago Aspas,Iago Aspas Juncal,84,33,1987-08-01,176,67,false
112,G. Wijnaldum,Georginio Wijnaldum,84,30,1990-11-11,175,74,false
113,D. Alaba,David Olatukunbo Alaba,84,29,1992-06-24,180,78,false
114,D. Tadić,Dušan Tadić,84,32,1988-11-20,181,76,false
115,W. Ben Yedder,Wissam Ben Yedder,84,30,1990-08-12,170,68,false
116,L. Digne,Lucas Digne,84,27,1993-07-20,178,74,false
117,E. Martínez,Damián Emiliano Martínez,84,28,1992-09-02,195,88,false
118,H. Maguire,Harry Maguire,84,28,1993-03-05,194,100,false
119,Luis Alberto,Luis Alberto Romero Alconchel,84,28,1992-09-28,183,74,false
120,S. Savić,Stefan Savić,84,30,1991-01-08,187,80,false
121,D. Zapata,Duván Esteban Zapata Banguera,83,30,1991-04-01,189,88,false
122,W. Weghorst,Wout Weghorst,83,28,1992-08-07,197,84,false
123,Angeliño,José Ángel Esmoris Tasende,83,24,1997-01-04,175,69,false
124,A. Kramarić,Andrej Kramarić,83,30,1991-06-19,177,73,false
125,Gayà,José Luís Gayà Peña,83,26,1995-05-25,172,66,false
126,P. Højbjerg,Pierre-Emile Kordt Højbjerg,83,25,1995-08-05,185,84,false
127,T. Lemar,Thomas Lemar,83,25,1995-11-12,171,66,false
128,T. Partey,Thomas Partey,83,28,1993-06-13,185,77,false
129,Merino,Mikel Merino Zazón,83,25,1996-06-22,189,83,false
130,R. Gosens,Robin Everardus Gosens,83,26,1994-07-05,183,76,false
131,F. Chiesa,Federico Chiesa,83,23,1997-10-25,175,70,false
132,A. Wan-Bissaka,Aaron Wan-Bissaka,83,23,1997-11-26,183,72,false
133,Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,83,29,1992-02-29,177,75,false
134,O. Dembélé,Ousmane Dembélé,83,24,1997-05-15,178,67,false
135,M. Mount,Mason Mount,83,22,1999-01-10,178,70,false
136,É. Mendy,Édouard Mendy,83,29,1992-03-01,197,86,false
137,A. Rüdiger,Antonio Rüdiger,83,28,1993-03-03,190,85,false
138,L. Ocampos,Lucas Ariel Ocampos,83,26,1994-07-11,188,84,false
139,R. Jiménez,Raúl Alonso Jiménez Rodríguez,83,30,1991-05-05,188,81,false
140,J. Pickford,Jordan Pickford,83,27,1994-03-07,185,77,false
141,B. Leno,Bernd Leno,83,29,1992-03-04,190,83,false
142,C. Vela,Carlos Alberto Vela Garrido,83,32,1989-03-01,177,77,false
143,S. Kjær,Simon Thorup Kjær,83,32,1989-03-26,190,86,false
144,Azpilicueta,César Azpilicueta Tanco,83,31,1989-08-28,178,77,false
145,Paulinho,José Paulo Bezzera Maciel Júnior,83,32,1988-07-25,183,80,false
146,Muniain,Iker Muniain Goñi,83,28,1992-12-19,170,66,false
147,Canales,Sergio Canales Madrazo,83,30,1991-02-16,176,65,false
148,L. Hrádecký,Lukáš Hrádecký,83,31,1989-11-24,192,83,false
149,Alex Sandro,Alex Sandro Lobo Silva,83,30,1991-01-26,180,80,false
150,E. Džeko,Edin Džeko,83,35,1986-03-17,193,80,false
151,K. Manolas,Konstantinos Manolas,83,30,1991-06-14,189,83,false
152,K. Volland,Kevin Volland,83,28,1992-07-30,179,85,false
153,H. Mkhitaryan,Henrikh Mkhitaryan,83,32,1989-01-21,177,75,false
154,N. Pope,Nick Pope,83,29,1992-04-19,199,76,false
155,Morata,Álvaro Borja Morata Martín,83,28,1992-10-23,190,84,false
156,Allan,Allan Marques Loureiro,83,30,1991-01-08,175,74,false
157,F. Acerbi,Francesco Acerbi,83,33,1988-02-10,192,88,false
158,S. Coates,Sebastián Coates Nión,83,30,1990-10-07,196,92,false
159,J. Matip,Joël Andre Job Matip,83,29,1991-08-08,194,90,false
160,J. Cuadrado,Juan Guillermo Cuadrado Bello,83,33,1988-05-26,179,72,false
161,J. Maddison,James Maddison,82,24,1996-11-23,175,73,false
162,Palhinha,João Maria Lobo Alves Palhinha Gonçalves,82,25,1995-07-09,190,82,false
163,C. Pulisic,Christian Mate Pulisic,82,22,1998-09-18,177,69,false
164,Fabián,Fabián Ruiz Peña,82,25,1996-04-03,189,70,false
165,Rúben Neves,Rúben Diogo da Silva Neves,82,24,1997-03-13,180,80,false
166,M. Ødegaard,Martin Ødegaard,82,22,1998-12-17,178,68,false
167,A. Rebić,Ante Rebić,82,27,1993-09-21,185,78,false
168,Diego Carlos,Diego Carlos Santos Silva,82,28,1993-03-15,185,86,false
169,Rafa,Rafael Alexandre Fernandes Ferreira da Silva,82,28,1993-05-17,170,63,false
170,Anderson Talisca,Anderson Souza Conceição,82,27,1994-02-01,190,80,false
171,N. Süle,Niklas Süle,82,25,1995-09-03,195,99,false
172,Mario Hermoso,Mario Hermoso Canseco,82,26,1995-06-18,185,76,false
173,T. Souček,Tomáš Souček,82,26,1995-02-27,192,86,false
174,F. Neuhaus,Florian Christian Neuhaus,82,24,1997-03-16,185,74,false
175,D. Livaković,Dominik Livaković,82,26,1995-01-09,187,79,false
176,Ferran Torres,Ferran Torres García,82,21,2000-02-29,184,77,false
177,D. Berardi,Domenico Berardi,82,26,1994-08-01,183,72,false
178,Y. En-Nesyri,Youssef En-Nesyri,82,24,1997-06-01,188,78,false
179,A. Davies,Alphonso Boyle Davies,82,20,2000-11-02,183,75,false
180,Raphaelinho Anjos,Raphael William Anjos Rochedo,82,33,1988-02-29,190,85,false
181,D. Rice,Declan Rice,82,22,1999-01-14,185,80,false
182,A. Isak,Alexander Isak,82,21,1999-09-21,192,77,false
183,Raphinha,Raphael Dias Belloli,82,24,1996-12-14,176,68,false
184,Richarlison,Richarlison de Andrade,82,24,1997-05-10,181,71,false
185,Unai Simón,Unai Simón Mendibil,82,24,1997-06-11,190,89,false
186,M. Locatelli,Manuel Locatelli,82,23,1998-01-08,185,75,false
187,I. Gueye,Idrissa Gana Gueye,82,31,1989-09-26,174,66,false
188,M. Götze,Mario Götze,82,29,1992-06-03,177,71,false
189,D. Blind,Daley Blind,82,31,1990-03-09,180,72,false
190,K. Trapp,Kevin Trapp,82,30,1990-07-08,189,88,false
191,Oscar,Oscar dos Santos Emboaba Júnior,82,29,1991-09-09,179,70,false
192,L. Stindl,Lars Edi Stindl,82,32,1988-08-26,181,80,false
193,M. Pjanić,Miralem Pjanić,82,31,1990-04-02,178,72,false
194,É. Banega,Éver Maximiliano David Banega,82,33,1988-06-29,174,75,false
195,Rui Patrício,Rui Pedro dos Santos Patrício,82,33,1988-02-15,190,84,false
196,G. Bale,Gareth Frank Bale,82,31,1989-07-16,185,82,false
197,S. Sirigu,Salvatore Sirigu,82,34,1987-01-12,192,85,false
198,Ł. Fabiański,Łukasz Fabiański,82,36,1985-04-18,190,83,false
199,Raúl Albiol,Raúl Albiol Tortajada,82,35,1985-09-04,190,82,false
200,Pepe,Kléper Laveran de Lima Ferreira,82,38,1983-02-26,188,80,false
201,Grimaldo,Alejandro Grimaldo García,82,25,1995-09-20,171,69,false
202,Mário Fernandes,Mário Figueira Fernandes,82,30,1990-09-19,187,80,false
203,Suso,Jesús Joaquín Fernández Sáez de la Torre,82,27,1993-11-19,176,70,false
204,Y. Bounou,Yassine Bounou,82,30,1991-04-05,192,78,false
205,O. Baumann,Oliver Baumann,82,31,1990-06-02,187,82,false
206,M. de Roon,Marten Elco de Roon,82,30,1991-03-29,185,76,false
207,H. Çalhanoğlu,Hakan Çalhanoğlu,82,27,1994-02-08,178,76,false
208,Juan Bernat,Juan Bernat Velasco,82,28,1993-03-01,170,67,false
209,J. Veretout,Jordan Veretout,82,28,1993-03-01,177,67,false
210,Gabriel Paulista,Gabriel Armando de Abreu,82,30,1990-11-26,185,72,false
211,Campaña,José Ángel Gómez Campaña,82,28,1993-05-31,179,70,false
212,A. Lopes,Anthony Lopes,82,30,1990-10-01,184,81,false
213,W. Zaha,Wilfried Zaha,82,28,1992-11-10,180,66,false
214,K. Laimer,Konrad Laimer,81,24,1997-05-27,180,72,false
215,D. Calvert-Lewin,Dominic Calvert-Lewin,81,24,1997-03-16,187,71,false
216,K. Phillips,Kalvin Phillips,81,25,1995-12-02,178,72,false
217,David Soria,David Soria Solís,81,28,1993-04-04,192,85,false
218,N. Pépé,Nicolas Pépé,81,26,1995-05-29,183,73,false
219,Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,81,24,1996-11-29,179,68,false
220,Morales,José Luis Morales Nogales,81,33,1987-07-23,180,70,false
221,D. Djené,Djené Dakonam Ortega,81,29,1991-12-31,178,72,false
222,D. Machís,Darwin Daniel Machís Marcano,81,28,1993-02-07,174,74,false
223,M. Politano,Matteo Politano,81,27,1993-08-03,171,67,false
224,Iñaki Williams,Iñaki Williams Arthuer,81,27,1994-06-15,186,80,false
225,O. Vlachodimos,Odisseas Vlachodimos,81,27,1994-04-26,191,78,false
226,Otávio,Otávio Edmilson da Silva Monteiro,81,26,1995-02-09,172,71,false
227,P. Zieliński,Piotr Sebastian Zieliński,81,27,1994-05-20,180,75,false
228,Rui Silva,Rui Tiago Dantas da Silva,81,27,1994-02-07,191,91,false
229,N. Mukiele,Nordi Mukiele Mulere,81,23,1997-11-01,187,84,false
230,Reguilón,Sergio Reguilón Rodríguez,81,24,1996-12-16,178,68,false
231,Álex Remiro,Alejandro Remiro Gargallo,81,26,1995-03-24,191,83,false
232,Yeray,Yeray Álvarez López,81,26,1995-01-24,182,79,false
233,Fred,Frederico Rodrigues de Paula Santos,81,28,1993-03-05,169,62,false
234,Pedri,Pedro González López,81,18,2002-11-25,174,61,false
235,E. Tapsoba,Edmond Fayçal Tapsoba,81,22,1999-02-02,194,85,false
236,M. Diaby,Moussa Diaby,81,21,1999-07-07,170,68,false
237,Pedro Gonçalves,Pedro António Pereira Gonçalves,81,23,1998-06-28,173,65,false
238,R. James,Reece James,81,21,1999-12-08,178,87,false
239,M. Lazzari,Manuel Lazzari,81,27,1993-11-29,174,67,false
240,H. Aouar,Houssem Aouar,81,23,1998-06-30,175,70,false
241,H. Barnes,Harvey Lewis Barnes,81,23,1997-12-09,180,66,false
242,Carlos Soler,Carlos Soler Barragán,81,24,1997-01-02,180,76,false
243,Lucas Paquetá,Lucas Tolentino Coelho de Lima,81,23,1997-08-27,180,72,false
244,C. Nkunku,Christopher Nkunku,81,23,1997-11-14,179,72,false
245,R. Malinovskyi,Ruslan Malinovskyi,81,28,1993-05-04,181,79,false
246,Oswaldinato,Marvin Oswaldo Rangel Azevedo,81,29,1992-02-29,184,79,false
247,Louri Beretta,Lourival Adnan Beretta Barbosa,81,29,1992-02-29,188,83,false
248,Rosberto Dourado,Rosberto J. Dourado Santos,81,21,2000-02-29,175,70,false
249,Juiano Mestres,Juan Everton Mestres de Mesquita,81,25,1996-02-29,181,82,false
250,L. Pellegrini,Lorenzo Pellegrini,81,25,1996-06-19,186,77,false
251,José Fonte,José Miguel da Rocha Fonte,81,37,1983-12-22,191,84,false
252,Jonathan Viera,Jonathan Viera Ramos,81,31,1989-10-01,171,67,false
253,D. Ings,Daniel William John Ings,81,28,1992-07-23,178,73,false
254,K. Kampl,Kevin Kampl,81,30,1990-10-09,178,66,false
255,Aitor,Aitor Fernández Abarisketa,81,30,1991-05-03,182,78,false
256,N. Otamendi,Nicolás Hernán Gonzalo Otamendi,81,33,1988-02-12,183,76,false
257,B. André,Benjamin André,81,30,1990-08-03,180,74,false
258,Marlos,Marlos Romero Bonfim,81,33,1988-06-07,174,76,false
259,M. Arnautović,Marko Arnautović,81,32,1989-04-19,192,83,false
260,M. Kruse,Max Bennet Kruse,81,33,1988-03-19,180,76,false
261,I. Perišić,Ivan Perišić,81,32,1989-02-02,186,80,false
262,Lucas Leiva,Lucas Pezzini Leiva,81,34,1987-01-09,179,78,false
263,J. Vertonghen,Jan Vertonghen,81,34,1987-04-24,189,86,false
264,Joaquín,Joaquín Sánchez Rodríguez,81,39,1981-07-21,179,75,false
265,G. Higuaín,Gonzalo Gerardo Higuaín,81,33,1987-12-10,186,89,false
266,S. Mandanda,Steve Mandanda,81,36,1985-03-28,185,82,false
267,A. Gignac,André-Pierre Christian Gignac,81,35,1985-12-05,189,85,false
268,Nani,Luís Carlos Almeida da Cunha,81,34,1986-11-17,177,70,false
269,B. Yılmaz,Burak Yılmaz,81,35,1985-07-15,188,77,false
270,A. Belotti,Andrea Belotti,81,27,1993-12-20,181,84,false
271,Adán,Antonio Adán Garrido,81,34,1987-05-13,190,86,false
272,E. Forsberg,Emil Peter Forsberg,81,29,1991-10-23,177,76,false
273,Danilo,Danilo Luiz da Silva,81,29,1991-07-15,184,78,false
274,A. Januzaj,Adnan Januzaj,81,26,1995-02-05,186,76,false
275,M. Arnold,Maximilian Arnold,81,27,1994-05-27,184,74,false
276,E. Višća,Edin Višća,81,31,1990-02-17,172,63,false
277,J. Ward-Prowse,James Ward-Prowse,81,26,1994-11-01,173,66,false
278,A. Milik,Arkadiusz Krystian Milik,81,27,1994-02-28,186,78,false
279,W. Orban,Vilmos Tamás Orban,81,28,1992-11-03,186,87,false
280,Iñigo Martínez,Íñigo Martínez Berridi,81,30,1991-05-17,182,77,false
281,A. Cragno,Alessio Cragno,81,27,1994-06-28,184,78,false
282,Nacho Fernández,José Ignacio Fernández Iglesias,81,31,1990-01-18,180,76,false
283,J. Tarkowski,James Tarkowski,81,28,1992-11-19,188,81,false
284,A. Marchesín,Agustín Federico Marchesín,81,33,1988-03-16,188,84,false
285,Lucas Moura,Lucas Rodrigues Moura da Silva,81,28,1992-08-13,174,70,false
286,Paco Alcácer,Francisco Alcácer García,81,27,1993-08-30,175,70,false
287,T. Vaclík,Tomáš Vaclík,81,32,1989-03-29,188,85,false
288,J. Rodríguez,Jonathan Javier Rodríguez Portillo,80,27,1993-07-06,177,79,false
289,Joan Jordán,Joan Jordán Moreno,80,26,1994-07-06,183,74,false
290,Borja Iglesias,Borja Iglesias Quintas,80,28,1993-01-17,187,86,false
291,J. Bamba,Jonathan Bamba,80,25,1996-03-26,175,70,false
292,Álex Berenguer,Alejandro Berenguer Remiro,80,25,1995-07-04,175,73,false
293,K. Tierney,Kieran Tierney,80,24,1997-06-05,178,70,false
294,Everton,Éverton Sousa Soares,80,25,1996-03-22,174,72,false
295,A. Christensen,Andreas Bødtker Christensen,80,25,1996-04-10,187,81,false
296,J. Denayer,Jason Denayer,80,26,1995-06-28,184,80,false
297,Embarba,Adrián Embarba Blázquez,80,29,1992-05-07,173,68,false
298,Capa,Ander Capa Rodríguez,80,29,1992-02-08,175,75,false
299,G. Rulli,Gerónimo Rulli,80,29,1992-05-20,189,84,false
300,W. Benítez,Walter Daniel Benítez,80,28,1993-01-19,191,93,false
301,F. Armani,Franco Armani,80,34,1986-10-16,189,88,false
302,João Mário,João Mário Naval da Costa Eduardo,80,28,1993-01-19,179,73,false
303,P. Max,Philipp Martin Max,80,27,1993-09-30,177,77,false
304,Nélson Semedo,Nélson Cabral Semedo,80,27,1993-11-16,177,69,false
305,G. Mancini,Gianluca Mancini,80,25,1996-04-17,190,77,false
306,B. Saka,Bukayo Saka,80,19,2001-09-05,178,65,false
307,V. Coufal,Vladimír Coufal,80,28,1992-08-22,175,76,false
308,V. Tsygankov,Viktor Tsygankov,80,23,1997-11-15,178,72,false
309,Pedro Porro,Pedro Antonio Porro Sauceda,80,21,1999-09-13,176,71,false
310,D. Alli,Bamidele Alli,80,25,1996-04-11,188,80,false
311,L. Díaz,Luis Fernando Díaz Marulanda,80,24,1997-01-13,180,73,false
312,R. Baku,Ridle Bote Baku,80,23,1998-04-08,176,75,false
313,M. Gómez,Maximiliano Gómez González,80,24,1996-08-14,186,84,false
314,A. Bastoni,Alessandro Bastoni,80,22,1999-04-13,190,75,false
315,B. Kamara,Boubacar Bernard Kamara,80,21,1999-11-23,184,68,false
316,J. Pavlenka,Jiří Pavlenka,80,29,1992-04-14,196,81,false
317,N. Mazraoui,Noussair Mazraoui,80,23,1997-11-14,183,62,false
318,X. Schlager,Xaver Schlager,80,23,1997-09-28,174,76,false
319,V. Osimhen,Victor James Osimhen,80,22,1998-12-29,185,78,false
320,D. Malen,Donyell Malen,80,22,1999-01-19,179,78,false
321,Renato Sanches,Renato Júnior Luz Sanches,80,23,1997-08-18,176,70,false
322,Laure Santeiro,Laureano Thomas Santeiro Marre,80,21,2000-02-29,171,63,false
323,Héniton Pires,Héniton Enaldo Pires Tramontino,80,25,1996-02-29,182,74,false
324,Maikel Catarino,Maikel Renan Catarino Fagundes,80,25,1996-02-29,177,75,false
325,E. Pérez,Enzo Nicolás Pérez,80,35,1986-02-22,178,77,false
326,R. Pereyra,Roberto Maximiliano Pereyra,80,30,1991-01-07,182,77,false
327,Guaita,Vicente Guaita Panadero,80,34,1987-01-10,190,80,false
328,José Callejón,José María Callejón Bueno,80,34,1987-02-11,178,73,false
329,A. Ogbonna,Angelo Obinze Ogbonna,80,33,1988-05-23,191,86,false
330,F. Muslera,Néstor Fernando Muslera Micol,80,35,1986-06-16,190,74,false
331,D. Godín,Diego Roberto Godín Leal,80,35,1986-02-16,187,78,false
332,R. Nainggolan,Radja Nainggolan,80,33,1988-05-04,176,65,false
333,Nacho Monreal,Ignacio Monreal Eraso,80,35,1986-02-26,180,77,false
334,D. Payet,Dimitri Payet,80,34,1987-03-29,175,77,false
335,S. Mignolet,Simon Luc Hildebert Mignolet,80,33,1988-03-06,193,87,false
336,D. Wass,Daniel Wass,80,32,1989-05-31,181,74,false
337,M. Hamšík,Marek Hamšík,80,33,1987-07-27,183,73,false
338,Raúl García,Raúl García Escudero,80,34,1986-07-11,184,83,false
339,João Moutinho,João Filipe Iria Santos Moutinho,80,34,1986-09-08,170,61,false
340,I. Akinfeev,Igor Akinfeev,80,35,1986-04-08,186,78,false
341,G. Ochoa,Francisco Guillermo Ochoa Magaña,80,35,1985-07-13,190,85,false
342,G. Buffon,Gianluigi Buffon,80,43,1978-01-28,192,92,false
343,Pacheco,Fernando Pacheco Flores,80,29,1992-05-18,186,81,false
344,N. Lodeiro,Marcelo Nicolás Lodeiro Benítez,80,32,1989-03-21,170,69,false
345,M. Benatia,Medhi Amine El Mouttaqi Benatia,80,34,1987-04-17,189,94,false
346,Pozuelo,Alejandro Pozuelo Melero,80,29,1991-09-20,170,63,false
347,Sérgio Oliveira,Sérgio Miguel Relvas de Oliveira,80,29,1992-06-02,181,78,false
348,Q. Promes,Quincy Anton Promes,80,29,1992-01-04,174,72,false
349,J. Martínez,Josef Alexander Martínez Mencia,80,28,1993-05-19,170,69,false
350,Roger,Roger Martí Salvador,80,30,1991-01-03,179,74,false
351,M. Keane,Michael Keane,80,28,1993-01-11,191,82,false
352,E. Andrada,Esteban Maximiliano Andrada,80,30,1991-01-26,194,83,false
353,S. Haller,Sébastien Haller,80,27,1994-06-22,190,82,false
354,T. Savanier,Téji Tedy Savanier,80,29,1991-12-22,172,69,false
355,F. Thauvin,Florian Tristan Mariano Thauvin,80,28,1993-01-26,179,70,false
356,E. Zahavi,Eran Zahavi,80,33,1987-07-25,182,71,false
357,Z. Feddal,Zouhair Feddal Agharbi,80,31,1989-12-23,192,84,false
358,A. Mandi,Aïssa Mandi,80,29,1991-10-22,184,78,false
359,C. Bakambu,Cédric Bakambu,80,30,1991-04-11,182,74,false
